project_id,risk_score,is_anomaly
P00000290,49.33,True
P00000291,42.49,True
P00000292,23.32,False
P00000293,29.13,False
P00000294,51.26,True
P00000295,54.05,True
P00000296,51.12,True
P00000297,61.53,True
P00000298,31.1,True
P00000299,44.64,True
P00000300,44.94,True
P00000301,45.34,True
P00000302,41.99,True
P00000303,48.75,True
P00000304,46.92,True
P00000305,53.03,True
P00000306,58.54,True
P00000307,41.38,True
P00000308,53.47,True
P00000309,49.17,True
P00000310,20.22,False
P00000311,49.17,True
P00000312,37.35,True
P00000313,36.23,True
P00000314,32.46,True
P00000315,38.7,True
P00000316,52.42,True
P00000317,47.08,True
P00000318,57.38,True
P00000319,16.83,False
P00000320,29.87,False
P00000321,51.97,True
P00000322,43.98,True
P00000323,47.72,True
P00000324,50.73,True
P00000325,28.61,False
P00000326,29.22,False
P00000327,54.11,True
P00000328,21.77,False
P00000329,51.36,True
P00000330,32.37,True
P00000331,56.51,True
P00000332,34.24,True
P00000333,28.5,False
P00000334,30.96,True
P00000335,51.8,True
P00000336,28.04,False
P00000337,57.82,True
P00000338,44.73,True
P00000339,37.77,True
P00000340,29.97,True
P00000341,42.35,True
P00000342,58.32,True
P00000343,39.94,True
P00000344,37.42,True
P00000345,30.73,True
P00000346,19.59,False
P00000347,43.99,True
P00000348,49.91,True
P00000349,34.24,True
P00000350,30.2,True
P00000351,21.44,False
P00000352,52.73,True
P00000353,50.4,True
P00000354,18.23,False
P00000355,55.5,True
P00000356,48.53,True
P00000357,20.34,False
P00000358,42.4,True
P00000359,57.5,True
P00000360,46.17,True
P00000361,43.83,True
P00000362,49.69,True
P00000363,41.32,True
P00000364,52.32,True
P00000365,53.47,True
P00000366,49.33,True
P00000367,41.29,True
P00000368,50.16,True
P00000369,37.83,True
P00000370,29.03,False
P00000371,53.83,True
P00000372,39.55,True
P00000373,47.54,True
P00000374,36.21,True
P00000375,56.82,True
P00000376,37.1,True
P00000377,36.45,True
P00000378,29.12,False
P00000379,58.12,True
P00000380,17.05,False
P00000381,40.17,True
P00000382,51.04,True
P00000383,23.67,False
P00000384,52.92,True
P00000385,38.44,True
P00000386,29.98,True
P00000387,36.5,True
P00000388,40.87,True
P00000389,30.37,True
P00000390,28.77,False
P00000391,43.53,True
P00000392,46.76,True
P00000393,36.05,True
P00000394,35.58,True
P00000395,48.37,True
P00000396,34.22,True
P00000397,59.34,True
P00000398,46.45,True
P00000399,39.35,True
P00000400,33.32,True
P00000401,28.15,False
P00000402,39.91,True
P00000403,45.22,True
P00000404,49.56,True
P00000405,48.27,True
P00000406,44.01,True
P00000407,42.3,True
P00000408,46.1,True
P00000409,30.52,True
P00000410,23.56,False
P00000411,45.21,True
P00000412,48.61,True
P00000413,48.24,True
P00000414,47.54,True
P00000415,37.14,True
P00000416,58.77,True
P00000417,22.34,False
P00000418,45.58,True
P00000419,20.37,False
P00000420,49.95,True
P00000421,36.58,True
P00000422,53.86,True
P00000423,44.03,True
P00000424,61.63,True
P00000425,59.13,True
P00000426,26.4,False
P00000427,63.67,True
P00000428,40.92,True
P00000429,55.43,True
P00000430,36.93,True
P00000431,18.29,False
P00000432,60.58,True
P00000433,47.26,True
P00000434,46.44,True
P00000435,23.92,False
P00000436,47.73,True
P00000437,43.51,True
P00000438,39.95,True
P00000439,54.13,True
P00000440,41.02,True
P00000441,46.16,True
P00000442,57.71,True
P00000443,44.42,True
P00000444,78.72,True
P00000445,49.11,True
P00000446,40.84,True
P00000447,30.58,True
P00000448,44.77,True
P00000449,21.42,False
P00000450,23.59,False
P00000451,45.37,True
P00000452,45.96,True
P00000453,51.67,True
P00000454,36.2,True
P00000455,42.51,True
P00000456,45.66,True
P00000457,42.32,True
P00000458,25.49,False
P00000459,43.87,True
P00000460,46.43,True
P00000461,49.06,True
P00000462,19.96,False
P00000463,20.7,False
P00000464,53.77,True
P00000465,66.83,True
P00000466,44.71,True
P00000467,54.81,True
P00000468,31.59,True
P00000469,23.0,False
P00000470,48.88,True
P00000471,44.25,True
P00000472,30.36,True
P00000473,49.54,True
P00000474,19.18,False
P00000475,20.06,False
P00000476,58.97,True
P00000477,41.0,True
P00000478,59.88,True
P00000479,43.58,True
P00000480,36.07,True
P00000481,36.72,True
P00000482,58.02,True
P00000483,47.65,True
P00000484,27.62,False
P00000485,46.82,True
P00000486,25.45,False
P00000487,53.56,True
P00000488,10.46,False
P00000489,44.34,True
P00000490,32.47,True
P00000491,49.91,True
P00000492,51.14,True
P00000493,55.97,True
P00000494,46.99,True
P00000495,25.12,False
P00000496,41.18,True
P00000497,23.44,False
P00000498,47.53,True
P00000499,56.06,True
P00000500,49.28,True
P00000501,52.36,True
P00000502,23.69,False
P00000503,22.36,False
P00000504,48.52,True
P00000505,50.19,True
P00000506,53.06,True
P00000507,47.48,True
P00000508,31.3,True
P00000509,27.49,False
P00000510,45.91,True
P00000511,57.84,True
P00000512,18.0,False
P00000513,30.36,True
P00000514,43.69,True
P00000515,45.91,True
P00000516,80.19,True
P00000517,43.7,True
P00000518,42.17,True
P00000519,39.46,True
P00000520,49.17,True
P00000521,37.1,True
P00000522,54.74,True
P00000523,47.16,True
P00000524,42.73,True
P00000525,26.76,False
P00000526,21.95,False
P00000527,85.85,True
P00000528,59.24,True
P00000529,69.55,True
P00000530,47.87,True
P00000531,67.31,True
P00000532,43.17,True
P00000533,35.4,True
P00000534,42.81,True
P00000535,48.25,True
P00000536,28.08,False
P00000537,28.14,False
P00000538,42.89,True
P00000539,57.58,True
P00000540,49.35,True
P00000541,60.06,True
P00000542,55.26,True
P00000543,64.17,True
P00000544,24.48,False
P00000545,14.11,False
P00000546,45.18,True
P00000547,46.59,True
P00000548,61.21,True
P00000549,34.32,True
P00000550,52.11,True
P00000551,52.85,True
P00000552,58.36,True
P00000553,26.9,False
P00000554,41.25,True
P00000555,41.45,True
P00000556,53.46,True
P00000557,53.74,True
P00000558,49.13,True
P00000559,35.3,True
P00000560,53.51,True
P00000561,32.39,True
P00000562,50.08,True
P00000563,40.36,True
P00000564,50.26,True
P00000565,36.82,True
P00000566,46.37,True
P00000567,29.35,False
P00000568,51.85,True
P00000569,23.55,False
P00000570,52.11,True
P00000571,62.68,True
P00000572,61.69,True
P00000573,51.65,True
P00000574,41.66,True
P00000575,42.3,True
P00000576,42.87,True
P00000577,57.7,True
P00000578,40.16,True
P00000579,46.58,True
P00000580,54.76,True
P00000581,48.1,True
P00000582,47.6,True
P00000583,10.75,False
P00000584,33.45,True
P00000585,41.96,True
P00000586,27.74,False
P00000587,26.11,False
P00000588,51.06,True
P00000589,52.82,True
P00000590,42.03,True
P00000591,21.45,False
P00000592,55.06,True
P00000593,58.28,True
P00000594,27.98,False
P00000595,57.26,True
P00000596,22.75,False
P00000597,44.73,True
P00000598,52.25,True
P00000599,52.9,True
P00000600,45.1,True
P00000601,39.85,True
P00000602,51.95,True
P00000603,39.48,True
P00000604,48.17,True
P00000605,43.92,True
P00000606,39.35,True
P00000607,42.01,True
P00000608,49.53,True
P00000609,30.39,True
P00000610,59.82,True
P00000611,18.16,False
P00000612,29.46,False
P00000613,24.0,False
P00000614,33.48,True
P00000615,80.55,True
P00000616,49.21,True
P00000617,44.42,True
P00000618,51.45,True
P00000619,37.67,True
P00000620,33.75,True
P00000621,32.58,True
P00000622,31.35,True
P00000623,40.32,True
P00000624,49.16,True
P00000625,37.53,True
P00000626,36.36,True
P00000627,48.3,True
P00000628,37.02,True
P00000629,45.18,True
P00000630,49.47,True
P00000631,52.44,True
P00000632,49.28,True
P00000633,35.6,True
P00000634,56.68,True
P00000635,31.69,True
P00000636,21.18,False
P00000637,42.89,True
P00000638,51.09,True
P00000639,43.53,True
P00000640,30.08,True
P00000641,20.47,False
P00000642,42.01,True
P00000643,34.88,True
P00000644,40.88,True
P00000645,30.46,True
P00000646,51.01,True
P00000647,54.16,True
P00000648,50.24,True
P00000649,28.72,False
P00000650,35.23,True
P00000651,23.02,False
P00000652,44.23,True
P00000653,35.36,True
P00000654,35.07,True
P00000655,49.56,True
P00000656,53.53,True
P00000657,38.36,True
P00000658,41.86,True
P00000659,46.33,True
P00000660,51.01,True
P00000661,29.43,False
P00000662,41.07,True
P00000663,25.13,False
P00000664,42.34,True
P00000665,40.95,True
P00000666,64.5,True
P00000667,30.2,True
P00000668,42.45,True
P00000669,78.14,True
P00000670,48.9,True
P00000671,40.63,True
P00000672,55.2,True
P00000673,26.69,False
P00000674,17.35,False
P00000675,47.34,True
P00000676,63.0,True
P00000677,19.45,False
P00000678,45.43,True
P00000679,52.43,True
P00000680,58.56,True
P00000681,48.62,True
P00000682,22.69,False
P00000683,51.72,True
P00000684,36.51,True
P00000685,45.28,True
P00000686,29.53,False
P00000687,44.67,True
P00000688,39.2,True
P00000689,31.08,True
P00000690,51.95,True
P00000691,28.93,False
P00000692,51.08,True
P00000693,34.41,True
P00000694,42.22,True
P00000695,15.77,False
P00000696,39.51,True
P00000697,42.9,True
P00000698,52.02,True
P00000699,45.26,True
P00000700,32.86,True
P00000701,16.04,False
P00000702,33.45,True
P00000703,47.14,True
P00000704,30.49,True
P00000705,68.67,True
P00000706,47.96,True
P00000707,44.73,True
P00000708,41.21,True
P00000709,50.91,True
P00000710,50.1,True
P00000711,16.47,False
P00000712,52.62,True
P00000713,27.68,False
P00000714,65.33,True
P00000715,65.44,True
P00000716,31.31,True
P00000717,33.53,True
P00000718,58.64,True
P00000719,30.14,True
P00000720,51.63,True
P00000721,45.83,True
P00000722,40.68,True
P00000723,46.25,True
P00000724,12.98,False
P00000725,55.89,True
P00000726,44.36,True
P00000727,64.57,True
P00000728,26.39,False
P00000729,32.32,True
P00000730,46.93,True
P00000731,43.83,True
P00000732,50.12,True
P00000733,59.97,True
P00000734,46.25,True
P00000735,50.11,True
P00000736,50.07,True
P00000737,47.92,True
P00000738,57.16,True
P00000739,41.57,True
P00000740,34.54,True
P00000741,52.85,True
P00000742,34.99,True
P00000743,39.39,True
P00000744,67.72,True
P00000745,47.22,True
P00000746,58.23,True
P00000747,47.11,True
P00000748,50.55,True
P00000749,52.4,True
P00000750,35.98,True
P00000751,42.18,True
P00000752,45.09,True
P00000753,57.79,True
P00000754,37.31,True
P00000755,67.83,True
P00000756,26.83,False
P00000757,46.58,True
P00000758,44.55,True
P00000759,61.83,True
P00000760,55.92,True
P00000761,40.03,True
P00000762,41.69,True
P00000763,40.47,True
P00000764,48.6,True
P00000765,45.64,True
P00000766,36.79,True
P00000767,42.0,True
P00000768,47.03,True
P00000769,52.68,True
P00000770,48.43,True
P00000771,65.92,True
P00000772,27.36,False
P00000773,54.55,True
P00000774,57.74,True
P00000775,41.42,True
P00000776,75.48,True
P00000777,45.26,True
P00000778,54.8,True
P00000779,49.81,True
P00000780,32.29,True
P00000781,24.12,False
P00000782,42.04,True
P00000783,30.61,True
P00000784,43.92,True
P00000785,36.07,True
P00000786,45.79,True
P00000787,47.98,True
P00000788,41.79,True
P00000789,66.69,True
P00000790,48.87,True
P00000791,58.54,True
P00000792,41.38,True
P00000793,49.42,True
P00000794,56.44,True
P00000795,36.97,True
P00000796,41.5,True
P00000797,58.98,True
P00000798,13.65,False
P00000799,45.42,True
P00000800,39.82,True
P00000801,48.3,True
P00000802,20.65,False
P00000803,52.26,True
P00000804,52.98,True
P00000805,49.44,True
P00000806,47.36,True
P00000807,28.81,False
P00000808,16.36,False
P00000809,53.93,True
P00000810,50.01,True
P00000811,34.96,True
P00000812,39.04,True
P00000813,38.27,True
P00000814,57.33,True
P00000815,42.66,True
P00000816,46.7,True
P00000817,41.87,True
P00000818,59.11,True
P00000819,43.21,True
P00000820,44.61,True
P00000821,41.24,True
P00000822,40.35,True
P00000823,19.56,False
P00000824,74.13,True
P00000825,32.48,True
P00000826,34.73,True
P00000827,51.18,True
P00000828,33.98,True
P00000829,44.3,True
P00000830,29.89,False
P00000831,40.97,True
P00000832,43.34,True
P00000833,47.7,True
P00000834,53.89,True
P00000835,40.29,True
P00000836,51.74,True
P00000837,40.52,True
P00000838,44.04,True
P00000839,29.47,False
P00000840,26.81,False
P00000841,22.8,False
P00000842,55.47,True
P00000843,58.58,True
P00000844,37.19,True
P00000845,31.81,True
P00000846,53.64,True
P00000847,39.86,True
P00000848,41.04,True
P00000849,48.05,True
P00000850,38.2,True
P00000851,69.18,True
P00000852,49.42,True
P00000853,40.33,True
P00000854,44.45,True
P00000855,34.37,True
P00000856,45.81,True
P00000857,62.34,True
P00000858,23.4,False
P00000859,51.6,True
P00000860,51.96,True
P00000861,49.01,True
P00000862,43.6,True
P00000863,47.69,True
P00000864,43.19,True
P00000865,15.38,False
P00000866,43.69,True
P00000867,36.02,True
P00000868,34.15,True
P00000869,47.02,True
P00000870,45.2,True
P00000871,30.33,True
P00000872,46.81,True
P00000873,45.94,True
P00000874,17.37,False
P00000875,26.07,False
P00000876,31.42,True
P00000877,45.22,True
P00000878,26.03,False
P00000879,17.32,False
P00000880,58.18,True
P00000881,41.93,True
P00000882,46.06,True
P00000883,71.13,True
P00000884,77.21,True
P00000885,42.98,True
P00000886,35.28,True
P00000887,52.94,True
P00000888,23.2,False
P00000889,46.71,True
P00000890,59.83,True
P00000891,48.96,True
P00000892,56.88,True
P00000893,24.74,False
P00000894,55.08,True
P00000895,53.16,True
P00000896,34.48,True
P00000897,48.08,True
P00000898,41.81,True
P00000899,44.76,True
P00000900,46.93,True
P00000901,33.76,True
P00000902,44.2,True
P00000903,50.91,True
P00000904,56.18,True
P00000905,47.02,True
P00000906,45.14,True
P00000907,28.02,False
P00000908,40.19,True
P00000909,44.06,True
P00000910,46.01,True
P00000911,22.52,False
P00000912,20.44,False
P00000913,49.05,True
P00000914,48.11,True
P00000915,50.82,True
P00000916,58.75,True
P00000917,32.47,True
P00000918,24.03,False
P00000919,42.85,True
P00000920,73.72,True
P00000921,50.84,True
P00000922,24.68,False
P00000923,11.59,False
P00000924,46.78,True
P00000925,31.16,True
P00000926,19.77,False
P00000927,53.74,True
P00000928,49.56,True
P00000929,43.46,True
P00000930,42.42,True
P00000931,84.5,True
P00000932,44.35,True
P00000933,47.04,True
P00000934,20.42,False
P00000935,28.32,False
P00000936,49.35,True
P00000937,65.64,True
P00000938,43.57,True
P00000939,49.92,True
P00000940,11.87,False
P00000941,20.32,False
P00000942,25.9,False
P00000943,39.86,True
P00000944,49.9,True
P00000945,29.26,False
P00000946,48.24,True
P00000947,48.36,True
P00000948,31.89,True
P00000949,44.67,True
P00000950,36.88,True
P00000951,50.14,True
P00000952,50.23,True
P00000953,20.17,False
P00000954,25.72,False
P00000955,27.01,False
P00000956,40.54,True
P00000957,28.06,False
P00000958,47.24,True
P00000959,27.64,False
P00000960,30.43,True
P00000961,48.5,True
P00000962,43.46,True
P00000963,47.56,True
P00000964,24.77,False
P00000965,33.0,True
P00000966,58.79,True
P00000967,14.81,False
P00000968,28.61,False
P00000969,16.4,False
P00000970,52.16,True
P00000971,40.29,True
P00000972,22.1,False
P00000973,50.9,True
P00000974,32.54,True
P00000975,32.85,True
P00000976,44.5,True
P00000977,27.28,False
P00000978,45.99,True
P00000979,52.82,True
P00000980,18.63,False
P00000981,25.98,False
P00000982,45.62,True
P00000983,39.75,True
P00000984,46.27,True
P00000985,44.45,True
P00000986,39.25,True
P00000987,44.05,True
P00000988,31.27,True
P00000989,36.43,True
P00000990,54.25,True
P00000991,49.03,True
P00000992,68.33,True
P00000993,38.95,True
P00000994,57.94,True
P00000995,47.76,True
P00000996,50.35,True
P00000997,42.97,True
P00000998,50.39,True
P00000999,47.19,True
P00001000,39.35,True
P00001001,49.62,True
P00001002,69.71,True
P00001003,31.5,True
P00001004,47.48,True
P00001005,55.43,True
P00001006,58.97,True
P00001007,29.33,False
P00001008,44.54,True
P00001009,67.51,True
P00001010,58.83,True
P00001011,59.68,True
P00001012,39.39,True
P00001013,52.51,True
P00001014,37.91,True
P00001015,54.76,True
P00001016,63.61,True
P00001017,47.71,True
P00001018,59.25,True
P00001019,43.45,True
P00001020,36.8,True
P00001021,20.61,False
P00001022,51.86,True
P00001023,38.84,True
P00001024,52.76,True
P00001025,32.23,True
P00001026,55.9,True
P00001027,25.38,False
P00001028,17.22,False
P00001029,37.18,True
P00001030,59.65,True
P00001031,29.81,False
P00001032,57.46,True
P00001033,54.89,True
P00001034,22.31,False
P00001035,50.47,True
P00001036,26.32,False
P00001037,41.85,True
P00001038,70.17,True
P00001039,60.11,True
P00001040,37.23,True
P00001041,23.07,False
P00001042,19.74,False
P00001043,55.45,True
P00001044,71.38,True
P00001045,48.19,True
P00001046,36.8,True
P00001047,22.99,False
P00001048,27.68,False
P00001049,26.92,False
P00001050,31.49,True
P00001051,42.4,True
P00001052,54.16,True
P00001053,24.25,False
P00001054,20.18,False
P00001055,43.57,True
P00001056,28.72,False
P00001057,44.42,True
P00001058,47.67,True
P00001059,36.08,True
P00001060,23.75,False
P00001061,29.07,False
P00001062,57.57,True
P00001063,44.7,True
P00001064,32.93,True
P00001065,58.83,True
P00001066,31.71,True
P00001067,53.07,True
P00001068,32.11,True
P00001069,50.08,True
P00001070,19.13,False
P00001071,70.5,True
P00001072,49.1,True
P00001073,27.55,False
P00001074,26.6,False
P00001075,56.78,True
P00001076,41.06,True
P00001077,77.79,True
P00001078,22.55,False
P00001079,50.53,True
P00001080,59.04,True
P00001081,13.05,False
P00001082,49.59,True
P00001083,48.8,True
P00001084,40.64,True
P00001085,34.55,True
P00001086,37.62,True
P00001087,25.68,False
P00001088,33.88,True
P00001089,54.91,True
P00001090,21.36,False
P00001091,35.62,True
P00001092,47.04,True
P00001093,19.61,False
P00001094,48.45,True
P00001095,44.8,True
P00001096,57.7,True
P00001097,46.51,True
P00001098,45.21,True
